temps,valeur
0,1476
1,1481
2,1484
3,1491
4,1487
5,1491
6,1491
7,1494
8,1495
9,1492
10,1496
11,1500
12,1497
13,1495
14,1497
15,1497
16,1500
17,1504
18,1505
19,1504
20,1508
21,1506
22,1508
23,1511
24,1516
25,1513
26,1511
27,1515
28,1516
29,1522
30,1523
31,1524
32,1523
33,1528
34,1539
35,1536
36,1535
37,1536
38,1545
39,1542
40,1545
41,1543
42,1544
43,1548
44,1552
45,1555
46,1554
47,1555
48,1558
49,1556
50,1563
51,1564
52,1562
53,1564
54,1567
55,1570
56,1572
57,1577
58,1580
59,1586
60,1591
61,1584
62,1590
63,1588
64,1600
65,1599
66,1596
67,1600
68,1601
69,1607
70,1603
71,1607
72,1609
73,1609
74,1611
75,1616
76,1614
77,1615
78,1619
79,1619
80,1620
81,1623
82,1623
83,1628
84,1628
85,1630
86,1632
87,1636
88,1632
89,1639
90,1639
91,1644
92,1644
93,1650
94,1655
95,1656
96,1652
97,1656
98,1651
99,1657
100,1668
101,1666
102,1667
103,1670
104,1668
105,1679
106,1675
107,1683
108,1680
109,1683
110,1678
111,1681
112,1684
113,1689
114,1688
115,1689
116,1694
117,1695
118,1700
119,1700
120,1703
121,1706
122,1708
123,1708
124,1710
125,1716
126,1712
127,1723
128,1720
129,1726
130,1724
131,1730
132,1729
133,1732
134,1737
135,1737
136,1739
137,1742
138,1742
139,1740
140,1745
141,1752
142,1747
143,1759
144,1748
145,1756
146,1747
147,1763
148,1759
149,1753
150,1760
151,1764
152,1764
153,1764
154,1767
155,1769
156,1772
157,1772
158,1775
159,1776
160,1777
161,1788
162,1782
163,1792
164,1794
165,1788
166,1792
167,1798
168,1800
169,1804
170,1804
171,1799
172,1806
173,1811
174,1806
175,1816
176,1810
177,1824
178,1816
179,1817
180,1824
181,1828
182,1822
183,1824
184,1825
185,1831
186,1830
187,1827
188,1828
189,1831
190,1831
191,1831
192,1833
193,1836
194,1839
195,1836
196,1842
197,1843
198,1844
199,1848
200,1852
201,1852
202,1850
203,1852
204,1855
205,1857
206,1855
207,1854
208,1862
209,1857
210,1862
211,1868
212,1870
213,1870
214,1872
215,1871
216,1875
217,1871
218,1871
219,1878
220,1884
221,1888
222,1884
223,1888
224,1883
225,1888
226,1891
227,1886
228,1887
229,1889
230,1889
231,1889
232,1892
233,1894
234,1895
235,1895
236,1896
237,1897
238,1897
239,1899
240,1904
241,1906
242,1910
243,1911
244,1904
245,1907
246,1907
247,1910
248,1907
249,1912
250,1919
251,1912
252,1913
253,1918
254,1910
255,1915
256,1912
257,1920
258,1916
259,1916
260,1922
261,1923
262,1928
263,1924
264,1926
265,1924
266,1928
267,1920
268,1921
269,1926
270,1924
271,1929
272,1928
273,1927
274,1927
275,1928
276,1931
277,1934
278,1928
279,1929
280,1932
281,1936
282,1931
283,1935
284,1936
285,1932
286,1936
287,1936
288,1934
289,1945
290,1936
291,1943
292,1935
293,1939
294,1938
295,1939
296,1938
297,1939
298,1939
299,1939
300,1940
301,1944
302,1943
303,1935
304,1936
305,1934
306,1943
307,1936
308,1942
309,1936
310,1936
311,1936
312,1936
313,1939
314,1936
315,1935
316,1938
317,1939
318,1939
319,1936
320,1938
321,1945
322,1944
323,1944
324,1939
325,1942
326,1937
327,1940
328,1951
329,1939
330,1945
331,1943
332,1939
333,1938
334,1948
335,1939
336,1939
337,1944
338,1947
339,1938
340,1936
341,1945
342,1944
343,1939
344,1940
345,1932
346,1929
347,1932
348,1929
349,1922
350,1923
351,1924
352,1922
353,1923
354,1923
355,1920
356,1922
357,1921
358,1920
359,1920
360,1923
361,1926
362,1915
363,1921
364,1920
365,1921
366,1920
